Archivo,Elemento,Ecut,KPoints,Pseudopotencial,Total Energy (Ry)
Au_ecut25_k555_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,5 5 5,Au.pbe-n-rrkjus_psl.1.0.0,-85.37426994
Au_ecut25_k555_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,5 5 5,Au.pbesol-n-kjpaw_psl.1.0.0,-764.66290293
Au_ecut25_k555_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,5 5 5,Au.pbesol-n-rrkjus_psl.1.0.0,-85.1917758
Au_ecut25_k666_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,6 6 6,Au.pbe-n-kjpaw_psl.1.0.0,-775.1093961
Au_ecut25_k666_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,6 6 6,Au.pbe-n-rrkjus_psl.1.0.0,-85.36189906
Au_ecut25_k666_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,6 6 6,Au.pbesol-n-kjpaw_psl.1.0.0,-764.65070409
Au_ecut25_k666_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,6 6 6,Au.pbesol-n-rrkjus_psl.1.0.0,-85.17937528
Au_ecut25_k777_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,7 7 7,Au.pbe-n-kjpaw_psl.1.0.0,-775.11760985
Au_ecut25_k777_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,7 7 7,Au.pbe-n-rrkjus_psl.1.0.0,-85.36998712
Au_ecut25_k777_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,7 7 7,Au.pbesol-n-kjpaw_psl.1.0.0,-764.65860644
Au_ecut25_k777_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,7 7 7,Au.pbesol-n-rrkjus_psl.1.0.0,-85.18735249
Au_ecut25_k888_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,8 8 8,Au.pbe-n-kjpaw_psl.1.0.0,-775.11157264
Au_ecut25_k888_Au.pbe-n-rrkjus_psl.1.0.0.in,Au,25,8 8 8,Au.pbe-n-rrkjus_psl.1.0.0,-85.36388037
Au_ecut25_k888_Au.pbesol-n-kjpaw_psl.1.0.0.in,Au,25,8 8 8,Au.pbesol-n-kjpaw_psl.1.0.0,-764.6526523
Au_ecut25_k888_Au.pbesol-n-rrkjus_psl.1.0.0.in,Au,25,8 8 8,Au.pbesol-n-rrkjus_psl.1.0.0,-85.18135334
Au_ecut25_k999_Au.pbe-n-kjpaw_psl.1.0.0.in,Au,25,9 9 9,Au.pbe-n-kjpaw_psl.1.0.0,-775.11582136
